id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
886480165271372901,150.0,195.0,45.0,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.2744359074170504,Sports
886867834171028301,209.0,189.4100036969368,-19.589996303063202,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.3443255657287132,Music
887772296458123770,233.0,187.89367908336726,-45.10632091663274,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.1971663051055637,Arts & Theatre
888678289925013898,150.0,195.0,45.0,RAISE,Diplo,2026-05-22,2.2752276469248343,Music
888695429020343283,76.0,88.81949767530344,12.819497675303438,RAISE,Diplo,2026-05-22,2.133432574004653,Music
888706511406037576,214.0,233.61255500926964,19.61255500926964,RAISE,Diplo,2026-05-22,2.346353337367205,Music
890384516184093231,69.0,89.7,20.700000000000003,RAISE,Vans Warped Tour DC,2026-06-13,1.2649890812263596,Music
890663307031123846,149.0,151.20486171689473,2.204861716894726,HOLD,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5282608739688712,Music
892041136307293638,95.0,85.79940611599072,-9.20059388400928,DISCOUNT,Vans Warped Tour DC,2026-06-13,3.0390175053829456,Music
892259637215737507,96.0,115.68177215801055,19.681772158010546,RAISE,Men At Work,2026-09-20,2.059834411814385,Music
892699147382267931,154.0,175.75069408655867,21.750694086558667,RAISE,Vans Warped Tour DC,2026-06-13,2.287569739145796,Music
894001379907484842,179.0,183.1663939331608,4.166393933160805,HOLD,The James Hunter Six,2026-04-19,0.6261276547456937,Music
896408575481948263,96.0,89.2369220532576,-6.763077946742399,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.624019645978278,Sports
896589575425873711,112.0,129.29464801123603,17.294648011236035,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.7549514452715504,Sports
896685877196693546,180.0,125.99999999999999,-54.000000000000014,DISCOUNT,The James Hunter Six,2026-04-19,1.1351485796352692,Music
897704193251455506,175.0,122.49999999999999,-52.500000000000014,DISCOUNT,The James Hunter Six,2026-04-19,1.0215002872656704,Music
897712429523483678,207.0,144.89999999999998,-62.10000000000002,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.223934591157323,Arts & Theatre
897718548648692805,216.0,151.2,-64.80000000000001,DISCOUNT,The James Hunter Six,2026-04-19,1.238474410986079,Music
897724301225833686,274.0,191.79999999999998,-82.20000000000002,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.0763633780513795,Arts & Theatre
897732101248908065,306.0,214.2,-91.80000000000001,DISCOUNT,The James Hunter Six,2026-04-19,1.029612566964885,Music
897831753720019758,72.0,76.71474239839306,4.7147423983930565,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.0725074848609264,Sports
898411253846981998,163.0,134.79461340555108,-28.205386594448925,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.540195385552636,Sports
899223983391286961,68.0,88.4,20.400000000000006,RAISE,Men At Work,2026-09-20,2.242605859032487,Music
899303419183815074,62.0,80.60000000000001,18.60000000000001,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5256033345625769,Music
899380493961384793,125.0,124.6767431724324,-0.32325682756760443,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.1974296297371478,Sports
899455885833259312,55.0,71.5,16.5,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,1.5665540141648364,Sports
899834490777649775,150.0,195.0,45.0,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,4.01164151269919,Sports
901456875437749943,45.0,51.431315347642794,6.431315347642794,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.2332759697545383,Sports
901511997127737788,90.0,117.0,27.0,RAISE,Diplo,2026-05-22,2.244604469767426,Music
902969055318761792,135.0,108.99824643417878,-26.001753565821218,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,0.9369565398129592,Arts & Theatre
903013088962240254,215.0,188.60395627966014,-26.39604372033986,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.561444759839512,Arts & Theatre
903053624394362477,144.0,148.573268013111,4.573268013111004,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.5818383631281098,Sports
903580802291779765,357.0,249.89999999999998,-107.10000000000002,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.8358011644065129,Arts & Theatre
903620194560057993,146.0,154.7543663269273,8.754366326927311,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.228692199690324,Music
903688063874009313,127.0,88.89999999999999,-38.10000000000001,DISCOUNT,Diplo,2026-05-22,2.706288665521937,Music
904216460347399009,234.0,304.2,70.19999999999999,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.7258241645899806,Music
906380407996246751,198.0,172.42557470477558,-25.574425295224415,DISCOUNT,Diplo,2026-05-22,2.5502791191411487,Music
906661052699006247,202.0,262.6,60.60000000000002,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.5624561808954156,Music
907089832389697384,222.0,288.6,66.60000000000002,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.4940665699415971,Music
